1	,24	,11	,0
68	,52	,55	,1
55	,26	,51	,2
50	,27	,47	,3
53	,47	,4	,4
94	,83	,82	,5
53	,28	,46	,6
85	,72	,69	,7
72	,60	,69	,8
54	,30	,7	,9
48	,45	,29	,10
63	,54	,43	,11
63	,57	,54	,12
67	,63	,43	,13
49	,44	,8	,14
67	,44	,56	,15
56	,44	,49	,16
65	,47	,64	,17
105	,93	,80	,18
21	,0	,25	,19
55	,52	,2	,20
123	,22	,93	,21
133	,131	,120	,22
52	,25	,2	,23
51	,3	,50	,24
47	,27	,4	,25
46	,5	,45	,26
48	,6	,42	,27
54	,7	,43	,28
44	,43	,31	,29
33	,32	,9	,30
140	,129	,126	,31
139	,132	,41	,32
136	,130	,36	,33
136	,10	,20	,34
131	,11	,24	,35
105	,80	,83	,36
60	,58	,46	,37
90	,75	,88	,38
119	,101	,115	,39
66	,62	,48	,40
42	,6	,30	,41
43	,7	,31	,42
44	,31	,8	,43
49	,8	,32	,44
56	,49	,33	,45
45	,5	,29	,46
48	,29	,6	,47
86	,82	,70	,48
46	,28	,5	,49
53	,4	,28	,50
76	,58	,72	,51
66	,42	,57	,52
62	,60	,45	,53
49	,32	,33	,54
92	,33	,34	,55
59	,51	,50	,56
50	,3	,27	,57
77	,59	,70	,58
51	,26	,3	,59
52	,21	,25	,60
55	,2	,26	,61
58	,53	,46	,62
64	,53	,58	,63
96	,81	,95	,64
54	,42	,30	,65
61	,51	,59	,66
68	,55	,61	,67
115	,101	,92	,68
84	,78	,79	,69
87	,73	,81	,70
57	,42	,54	,71
60	,46	,45	,72
89	,86	,71	,73
65	,50	,47	,74
82	,77	,70	,75
62	,45	,48	,76
91	,89	,76	,77
80	,61	,77	,78
61	,55	,51	,79
66	,48	,42	,80
75	,62	,66	,81
67	,43	,44	,82
78	,63	,67	,83
71	,70	,65	,84
64	,47	,53	,85
71	,65	,64	,86
65	,59	,50	,87
74	,57	,73	,88
75	,66	,74	,89
79	,78	,67	,90
78	,73	,63	,91
93	,21	,68	,92
68	,21	,52	,93
121	,111	,110	,94
69	,60	,62	,95
137	,128	,134	,96
70	,59	,65	,97
76	,64	,58	,98
97	,94	,82	,99
91	,72	,85	,100
72	,58	,60	,101
108	,96	,107	,102
73	,57	,63	,103
88	,74	,87	,104
74	,66	,57	,105
104	,88	,102	,106
75	,69	,62	,107
103	,100	,89	,108
76	,71	,64	,109
83	,77	,82	,110
77	,61	,59	,111
79	,67	,56	,112
109	,84	,101	,113
92	,79	,56	,114
84	,81	,78	,115
120	,105	,116	,116
80	,68	,61	,117
107	,96	,95	,118
81	,73	,78	,119
86	,70	,71	,120
128	,120	,116	,121
116	,105	,83	,122
83	,80	,77	,123
101	,79	,92	,124
140	,126	,107	,125
90	,69	,75	,126
110	,99	,98	,127
89	,71	,76	,128
138	,100	,113	,129
102	,87	,96	,130
87	,74	,73	,131
112	,110	,98	,132
88	,75	,74	,133
91	,76	,72	,134
100	,97	,86	,135
104	,90	,88	,136
90	,85	,69	,137
99	,85	,98	,138
103	,91	,99	,139
92	,56	,33	,140
115	,34	,35	,141
93	,22	,21	,142
93	,68	,80	,143
97	,82	,86	,144
134	,128	,116	,145
117	,18	,40	,146
95	,81	,84	,147
117	,108	,107	,148
96	,87	,81	,149
100	,86	,89	,150
138	,97	,100	,151
122	,39	,121	,152
98	,85	,90	,153
124	,113	,111	,154
99	,91	,85	,155
103	,89	,91	,156
138	,127	,135	,157
130	,115	,35	,158
101	,84	,79	,159
114	,102	,108	,160
102	,88	,87	,161
111	,99	,110	,162
113	,103	,111	,163
125	,16	,122	,164
104	,98	,90	,165
116	,83	,94	,166
123	,105	,120	,167
138	,135	,106	,168
106	,94	,97	,169
140	,95	,109	,170
118	,117	,40	,171
114	,112	,104	,172
108	,102	,96	,173
129	,109	,119	,174
109	,95	,84	,175
112	,98	,104	,176
121	,39	,15	,177
124	,121	,15	,178
111	,103	,99	,179
114	,104	,102	,180
125	,112	,114	,181
127	,124	,14	,182
113	,100	,103	,183
118	,108	,117	,184
125	,114	,118	,185
115	,92	,34	,186
130	,119	,115	,187
134	,94	,106	,188
133	,128	,37	,189
126	,117	,107	,190
118	,40	,17	,191
125	,122	,112	,192
118	,114	,108	,193
139	,129	,132	,194
119	,109	,101	,195
133	,11	,131	,196
131	,123	,120	,197
122	,121	,110	,198
124	,15	,14	,199
122	,16	,39	,200
122	,110	,112	,201
123	,23	,22	,202
123	,93	,105	,203
124	,111	,121	,204
127	,14	,38	,205
125	,118	,17	,206
125	,17	,16	,207
126	,19	,18	,208
126	,18	,117	,209
135	,127	,38	,210
127	,113	,124	,211
134	,116	,94	,212
128	,12	,37	,213
132	,129	,119	,214
139	,126	,129	,215
130	,35	,36	,216
136	,132	,130	,217
131	,24	,23	,218
131	,23	,123	,219
132	,119	,130	,220
136	,41	,132	,221
133	,120	,128	,222
133	,37	,11	,223
135	,134	,106	,224
137	,135	,13	,225
135	,38	,13	,226
137	,13	,12	,227
136	,36	,10	,228
136	,20	,41	,229
137	,12	,128	,230
137	,134	,135	,231
138	,106	,97	,232
138	,113	,127	,233
139	,41	,19	,234
139	,19	,126	,235
140	,107	,95	,236
140	,109	,129	,237
